Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,11103200000,14224800000,16127100000,22870300000,29183400000,34449400000,54753200000,67574400000,101809100000,155438079618.79,190025139548.02,354001612709.39
Australia,5748000000,5828000000,7105000000,8172000000,9280000000,10884000000,14046000000,14196000000,15690000000,15944000000,19507000000,18123000000
Brazil,21039119675.67,26611248115.95,31035353728.32,36832294909.03,36610917483.65,38870019038.16,31308345297.86,32284349714.54,40575298790.88,42841871125.46,45671334344.89,61876261727.79
Canada,,,,,,,,,,,,
China,205446000000,258888000000,282491000000,267415890000,288863910000,260781080000,265177350000,304824768400,289756341800,293939020000,261797220000,
Germany,0,0,0,0,0,0,0,0,0,0,0,0
France,-108000000,-17000000,-126000000,-38000000,-116000000,-120000000,-113000000,-127000000,-127000000,-118000000,31000000,42000000
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,4533000000
Indonesia,20016800000000,25265900000000,28418400000000,31621300000000,31705029995902,30678914271770,31577846321163,34483531491897,38842592723941,36844926397356,31876291018883,38444261999310
India,1356800000000,1492610000000,1866240000000,1872640000000,1879760000000,2102160000000,2232630000000,1351420000000,1123880000000,,,
Italy,0,0,0,0,0,0,0,0,0,0,0,0
Japan,,,,,,,,,,,,
"Korea, Rep.",10666286000000,10990142000000,9609260000000,10838500000000,8704537034362,8516295489322,8155892379763,8615889407231,8349650908766,7700956092436,7117375634977,8674301168410
Mexico,26601902049.07,29945995148,31161405325.61,32324120654.98,36837607525,45366264674,51889113837,53793106494,67232290004,66294726109,59247025163,77235856692
Russian Federation,559400000000,791700000000,910500000000,837800000000,790475626998.94,576708645945.16,571805000000,587516000000,680672000000,739718000000,724080000000,931894000000
Saudi Arabia,12175000000,14359000000,17862000000,17600000000,19521000000,21574000000,25862000683.8,20117854864.47,16150000000,17375956576.01,17752144842.13,
Turkiye,3356702665.68,4820999162.61,5367912775.64,6845132080.7,6929469170.17,8712710681.71,9830799437.81,13426896075.72,16647600445.45,18299390703.99,26815813561.75,36850664483.9
United States,28603000000,31891000000,33503000000,35468000000,37363100000,38123000000,37534000000,38513000000,53284000000,77751600000,68626700000,89101400000
South Africa,26246070685.4326,33722292729.8627,35089138959.5119,43230688597147,39547957992.9815,45134932551.8064,44716854866002,49151743460.78,55021127862.15,54395982456573,45976461137.5669,57075833873.2087
