Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,213581700000,275943500000,341684800000,416961600000,577467060000,734578650000,995383800000,1166188900000,1473359000000,2283987271109.47,2956590210559.2,5315225557337.08
Australia,267099000000,288287000000,316642000000,337344000000,350220000000,355227000000,369251000000,388558000000,427444000000,455762000000,447597000000,481149000000
Brazil,553716719821043,649949566713776,690071196206.85,753107484803.29,779585066107.59,817203545639295,859551888450512,895969466770901,976384819417751,1015096267831.79,967894156799716,1274017236962.11
Canada,195474000000,209409000000,213133000000,221108000000,235565000000,246612000000,253122000000,269978000000,291927000000,294787000000,299845000000,332761000000
China,4208581872828.96,5032027000000,5524090000000,5874921110000,6228801980000,6459368710000,6809299102503.66,7837210897813.29,8321963160400,8378339220000,8200391760000,
Germany,286964000000,309258000000,319087000000,326440000000,336144000000,347367000000,354104000000,373081000000,385579000000,396249000000,359692000000,404307000000
France,438019000000,449064000000,470623000000,491419000000,497916000000,509986000000,515298000000,542823000000,571231000000,597578000000,571078000000,599417000000
United Kingdom,406534000000,429351000000,429923000000,447480000000,463118000000,480055000000,506674000000,532746000000,549503000000,560467000000,521874000000,598906000000
Indonesia,723307000000000,873874000000000,980518000000000,1.07731E+15,1.14528292843431E+15,1.2394827888085E+15,1.28188590299996E+15,1.34230691350164E+15,1.5180259613568E+15,1.54399468337968E+15,1.2833589038018E+15,1.54386746639776E+15
India,7930720000000,8891300000000,10776100000000,12358700000000,12448826200000,14556470000000,17158230000000,19461190000000,22712540000000,,,
Italy,381561000000,389891000000,405226000000,405428000000,404265000000,409527000000,425139000000,428655000000,429353000000,441557000000,411306000000,454258000000
Japan,,,,,,,,,,,,
"Korea, Rep.",177718345000000,192381242000000,202733000000000,204571000000000,206949942330742,218164717416848,243394985186625,266062765942891,294910486322993,292515369105908,288416321321718,348115684404127
Mexico,1351462808789.72,1468376569883.34,1545871623845.41,1675667821570.41,1857813260399.2,2373960110766,2724339160654,2859266290320,3073376367211,3212515610485,3347460452145,3579470338359
Russian Federation,6042500000000,8388430000000,9367400000000,9439600000000,10475712039061.1,8842239882184.92,7862231000000,9449201000000,11911657000000,11989394000000,11626127000000,15758575000000
Saudi Arabia,50106000000,58699000000,70058000000,76548000000,78605000000,81810000000,81987001327.1,87403173603.04,263261000000,220053352705.96,226820165169.96,
Turkiye,220210083347453,260907953433.07,286361320491.52,334850693041.14,368768204679.35,427419489436.41,479756554788.49,555234665288.47,649556098477.04,713491555043.62,891765058564.89,1296210846689.73
United States,1288676800000,1488047300000,1587024200000,1765757500000,1918847600000,2044355600000,2040410100000,2256236000000,2052156700000,2129731200000,2134535900000,2619127600000
South Africa,688142545141871,761051025654.66,832599904578052,921948405360255,1009985137716.34,1107350734679.6,1181719145823.5,1257831451520.97,1335160576642.21,1398839538009.8,1294173080394.32,1604834091598.79
